url,url length,indexed?,title,title length,description,description length,h1 count,h1,h1 length
https://www.movebubble.com/Property/Search?location=Notting%20Hill%2C%20London%20W11&CurrentPage=4,98,true,"Properties in Notting Hill, London W11 | Movebubble",51,"A great list of Properties in Notting Hill, London W11 from private landlords",77,1,"Properties in Notting Hill, London W11",38
https://www.movebubble.com/Property/Search?location=Notting%20Hill%2C%20London%20W11&CurrentPage=2,98,true,"Properties in Notting Hill, London W11 | Movebubble",51,"A great list of Properties in Notting Hill, London W11 from private landlords",77,1,"Properties in Notting Hill, London W11",38
https://www.movebubble.com/Property/Search?location=Notting%20Hill%2C%20London%20W11&CurrentPage=3,98,true,"Properties in Notting Hill, London W11 | Movebubble",51,"A great list of Properties in Notting Hill, London W11 from private landlords",77,1,"Properties in Notting Hill, London W11",38
https://www.movebubble.com/house-to-rent/uk/london/13796,56,true,Studio House in London | Movebubble,35,Studio House in London available to rent.,41,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/maida-hill/12111,66,true,"1 Bedroom Flat in Maida Hill, London | Movebubble",49,"1 Bedroom Flat in Maida Hill, London available to rent.",55,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/12834,55,true,1 Bedroom Flat in London | Movebubble,37,1 Bedroom Flat in London available to rent.,43,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/bayswater/12069,65,true,"2 Bedroom Flat in Bayswater, London | Movebubble",48,"2 Bedroom Flat in Bayswater, London available to rent.",54,0,,0
https://www.movebubble.com/house-to-rent/uk/london/golders-green/13281,70,true,"5 Bedroom House in Golders Green, London | Movebubble",53,"5 Bedroom House in Golders Green, London available to rent.",59,0,,0
https://www.movebubble.com/house-to-rent/uk/london/11921,56,true,3 Bedroom House in London | Movebubble,38,3 Bedroom House in London available to rent.,44,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/14416,55,true,1 Bedroom Flat in London | Movebubble,37,1 Bedroom Flat in London available to rent.,43,0,,0
https://www.movebubble.com/flat-to-rent/uk/barking/14411,56,true,2 Bedroom Flat in Barking | Movebubble,38,2 Bedroom Flat in Barking available to rent.,44,0,,0
https://www.movebubble.com/flat-to-rent/uk/barking/14223,56,true,2 Bedroom Flat in Barking | Movebubble,38,2 Bedroom Flat in Barking available to rent.,44,0,,0
https://www.movebubble.com/Property/Search?location=Kilburn%2C%20London%20NW6&CurrentPage=2,91,true,"Properties in Kilburn, London NW6 | Movebubble",46,"A great list of Properties in Kilburn, London NW6 from private landlords",72,1,"Properties in Kilburn, London NW6",33
https://www.movebubble.com/Property/Search?location=Kilburn%2C%20London%20NW6&CurrentPage=2,91,true,"Properties in Kilburn, London NW6 | Movebubble",46,"A great list of Properties in Kilburn, London NW6 from private landlords",72,1,"Properties in Kilburn, London NW6",33
https://www.movebubble.com/Property/Search?location=Kilburn%2C%20London%20NW6&CurrentPage=3,91,true,"Properties in Kilburn, London NW6 | Movebubble",46,"A great list of Properties in Kilburn, London NW6 from private landlords",72,1,"Properties in Kilburn, London NW6",33
https://www.movebubble.com/house-to-rent/uk/barking/14222,57,true,3 Bedroom House in Barking | Movebubble,39,3 Bedroom House in Barking available to rent.,45,0,,0
https://www.movebubble.com/flat-to-rent/uk/barking/14220,56,true,2 Bedroom Flat in Barking | Movebubble,38,2 Bedroom Flat in Barking available to rent.,44,0,,0
https://www.movebubble.com/house-to-rent/uk/dagenham/14221,58,true,3 Bedroom House in Dagenham | Movebubble,40,3 Bedroom House in Dagenham available to rent.,46,0,,0
https://www.movebubble.com/house-to-rent/uk/ilford/14210,56,true,1 Bedroom House in Ilford | Movebubble,38,1 Bedroom House in Ilford available to rent.,44,0,,0
https://www.movebubble.com/flat-to-rent/uk/barking/14152,56,true,2 Bedroom Flat in Barking | Movebubble,38,2 Bedroom Flat in Barking available to rent.,44,0,,0
https://www.movebubble.com/Property/Search?location=Stratford%2C%20London%20E15&CurrentPage=3,93,true,"Properties in Stratford, London E15 | Movebubble",48,"A great list of Properties in Stratford, London E15 from private landlords",74,1,"Properties in Stratford, London E15",35
https://www.movebubble.com/Property/Search?location=Stratford%2C%20London%20E15&CurrentPage=5,93,true,"Properties in Stratford, London E15 | Movebubble",48,"A great list of Properties in Stratford, London E15 from private landlords",74,1,"Properties in Stratford, London E15",35
https://www.movebubble.com/Property/Search?location=Stratford%2C%20London%20E15&CurrentPage=6,93,true,"Properties in Stratford, London E15 | Movebubble",48,"A great list of Properties in Stratford, London E15 from private landlords",74,1,"Properties in Stratford, London E15",35
https://www.movebubble.com/Property/Search?location=Stratford%2C%20London%20E15&CurrentPage=2,93,true,"Properties in Stratford, London E15 | Movebubble",48,"A great list of Properties in Stratford, London E15 from private landlords",74,1,"Properties in Stratford, London E15",35
https://www.movebubble.com/Property/Search?location=Stratford%2C%20London%20E15&CurrentPage=4,93,true,"Properties in Stratford, London E15 | Movebubble",48,"A great list of Properties in Stratford, London E15 from private landlords",74,1,"Properties in Stratford, London E15",35
https://www.movebubble.com/Property/Search?location=Stratford%2C%20London%20E15&CurrentPage=10,94,true,"Properties in Stratford, London E15 | Movebubble",48,"A great list of Properties in Stratford, London E15 from private landlords",74,1,"Properties in Stratford, London E15",35
https://www.movebubble.com/Property/Search?location=Stratford%2C%20London%20E15&CurrentPage=7,93,true,"Properties in Stratford, London E15 | Movebubble",48,"A great list of Properties in Stratford, London E15 from private landlords",74,1,"Properties in Stratford, London E15",35
https://www.movebubble.com/Property/Search?location=Stratford%2C%20London%20E15&CurrentPage=11,94,true,"Properties in Stratford, London E15 | Movebubble",48,"A great list of Properties in Stratford, London E15 from private landlords",74,1,"Properties in Stratford, London E15",35
https://www.movebubble.com/Property/Search?location=Stratford%2C%20London%20E15&CurrentPage=8,93,true,"Properties in Stratford, London E15 | Movebubble",48,"A great list of Properties in Stratford, London E15 from private landlords",74,1,"Properties in Stratford, London E15",35
https://www.movebubble.com/Property/Search?location=Stratford%2C%20London%20E15&CurrentPage=9,93,true,"Properties in Stratford, London E15 | Movebubble",48,"A great list of Properties in Stratford, London E15 from private landlords",74,1,"Properties in Stratford, London E15",35
https://www.movebubble.com/Property/Search?location=Stratford%2C%20London%20E15&CurrentPage=14,94,true,"Properties in Stratford, London E15 | Movebubble",48,"A great list of Properties in Stratford, London E15 from private landlords",74,1,"Properties in Stratford, London E15",35
https://www.movebubble.com/flat-to-rent/uk/london/13989,55,true,2 Bedroom Flat in London | Movebubble,37,2 Bedroom Flat in London available to rent.,43,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/13699,55,true,1 Bedroom Flat in London | Movebubble,37,1 Bedroom Flat in London available to rent.,43,0,,0
https://www.movebubble.com/flat-to-rent/uk/london/13799,55,true,3 Bedroom Flat in London | Movebubble,37,3 Bedroom Flat in London available to rent.,43,0,,0
